property_name,property_area_or_psf,property_total_price
Toa Payoh Central,80 sqft / $56.25 psf(Built),"$4,500"
Serangoon North Avenue 1,"1,475 sqft / $6.78 psf(Built)","$10,000"
South Bridge Road,"3,418 sqft / $9.36 psf(Built)","$32,000"
Lavender Street,"1,735 sqft / $4.90 psf(Built)","$8,500"
Balestier Hill Shopping Centre,311 sqft / $6.43 psf(Built),"$2,000"
Ang Mo Kio Avenue 8,900 sqft / $5.33 psf(Built),"$4,800"
475 Tampines Street 44,215 sqft / $13.95 psf(Built),"$3,000"
Geylang Road,"2,000 sqft / $3.40 psf(Built)","$6,800"
Duxton Road,600 sqft / $11.67 psf(Built),"$7,000"
Tanjong Pagar Conservation Area,"1,000 sqft / $7.00 psf(Built)","$7,000"
Tanjong Pagar Conservation Area,"1,200 sqft / $7.33 psf(Built)","$8,800"
Tras Street,"2,500 sqft / $7.20 psf(Built)","$18,000"
Jurong Gateway,"1,668 sqft / $11.99 psf(Built)","$20,000"
Aljunied Avenue 2,330 sqft / $11.52 psf(Built),"$3,800"
Geylang Road,"1,600 sqft / $3.25 psf(Built)","$5,200"
Jurong Gateway Road,"3,530 sqft / $11.33 psf(Built)","$40,000"
South Bridge Road,"1,500 sqft / $6.00 psf(Built)","$9,000"
Changi Village Road,750 sqft / $10.00 psf(Built),"$7,500"
