"property_name","property_url","property_area_or_psf","property_total_price"
"Tanjong Pagar Conservation Area","https://www.srx.com.sg/listings/97773041/for-rent-tanjong-pagar-conservation-area-craig-road","1,410 sqft / $7.80 psf(Built)","$11,000"
"Tat Ann Building","https://www.srx.com.sg/listings/97766851/for-rent-tat-ann-building-jalan-pemimpin","191 sqft / $4.19 psf(Built)","$800"
"Sin Cheong Building","https://www.srx.com.sg/listings/97766791/for-rent-sin-cheong-building-jalan-pemimpin","1,525 sqft / $3.50 psf(Built)","$5,338"
"River Valley Road","https://www.srx.com.sg/listings/97763821/for-rent-river-valley-road-river-valley-road","500 sqft / $7.00 psf(Built)","$3,500"
"Mohamed Sultan Road","https://www.srx.com.sg/listings/97763091/for-rent-mohamed-sultan-road-mohamed-sultan-road","500 sqft / $7.00 psf(Built)","$3,500"
"Holland Village","https://www.srx.com.sg/listings/96515191/for-rent-holland-village-holland-avenue","2,290 sqft / $12.66 psf(Built)","$29,000"
"Holland Village","https://www.srx.com.sg/listings/96515321/for-rent-holland-village-high-human-traffic-holland-ave-shophouse-holland","2,290 sqft / $12.66 psf(Built)","$29,000"
"Bedok Reservoir Road","https://www.srx.com.sg/listings/97753241/for-rent-bedok-reservoir-road-bedok-reservoir-road","883 sqft / $13.02 psf(Built)","$11,500"
"Aljunied Avenue 2","https://www.srx.com.sg/listings/97755361/for-rent-aljunied-avenue-2-aljunied-avenue-2","200 sqft / $30.00 psf(Built)","$6,000"
"Boat Quay Conservation Area","https://www.srx.com.sg/listings/97752531/for-rent-boat-quay-conservation-area-circular-road","840 sqft / $12.00 psf(Built)","$10,080"
"Boat Quay Conservation Area","https://www.srx.com.sg/listings/97752521/for-rent-boat-quay-conservation-area-circular-road","624 sqft / $12.00 psf(Built)","$7,488"
"Mustafa Centre","https://www.srx.com.sg/listings/97750171/for-rent-mustafa-centre-syed-alwi-road","1,474 sqft / $9.49 psf(Built)","$13,988"
"90 owen road","https://www.srx.com.sg/listings/97716301/for-rent-90-owen-road-single-ground-floor-shophouse-open-to-all-trades-e","1,603 sqft / $5.30 psf(Built)","$8,500"
"★★ 2 storey Massage Shop Takeover @ Kovan ★★","https://www.srx.com.sg/listings/97713931/for-rent-2-storey-massage-shop-takeover-kovan-massage-biz-for-sale-call-us-now","1,600 sqft / $5.00 psf(Built)","$8,000"
"★★ Cheap Ang Mo Kio Central shop, ready for takeover ★★","https://www.srx.com.sg/listings/97713901/for-rent-cheap-ang-mo-kio-central-shop-ready-for-takeover-ang-mo-kio-shop-for-rent-call-us-now","400 sqft / $17.50 psf(Built)","$7,000"
"Hamilton Road","https://www.srx.com.sg/listings/96852041/for-rent-hamilton-road-hamilton-road","1,700 sqft / $4.00 psf(Built)","$6,800"
"HDB shop opp hawker, facing main road, near coffeeshops ★★","https://www.srx.com.sg/listings/97704991/for-rent-hdb-shop-opp-hawker-facing-main-road-near-coffeeshops-aljunied-hdb-shop-house-for-rent","750 sqft / $14.67 psf(Built)","$11,000"
"Armenian Street","https://www.srx.com.sg/listings/96432481/for-rent-armenian-street-armenian-street","3,056 sqft / $7.79 psf(Built)","$23,800"
"Owen Road","https://www.srx.com.sg/listings/97702181/for-rent-owen-road-3-storey-shophouse-for-rent","3,000 sqft / $4.83 psf(Built)","$14,500"
"New Bridge Road","https://www.srx.com.sg/listings/96951051/for-rent-new-bridge-road-new-bridge-road","1,373 sqft / $8.74 psf(Built)","$12,000"
"Mohamed Sultan Road","https://www.srx.com.sg/listings/97056551/for-rent-mohamed-sultan-road-mohamed-sultan-road","826 sqft / $5.70 psf(Built)","$4,712"
"Jurong Gateway","https://www.srx.com.sg/listings/97463031/for-rent-jurong-gateway-jurong-gateway-road","350 sqft / $4.29 psf(Built)","$1,500"
"Blair Plain Conservation Area","https://www.srx.com.sg/listings/97722141/for-rent-blair-plain-conservation-area-kampong-bahru-road","890 sqft / $6.52 psf(Built)","$5,800"
"Townshend Road","https://www.srx.com.sg/listings/97721641/for-rent-townshend-road-townshend-road","1,222 sqft / $8.02 psf(Built)","$9,800"
"Bishan Street 11","https://www.srx.com.sg/listings/97720901/for-rent-bishan-street-11-bishan-street-11","987 sqft / $6.08 psf(Built)","$6,000"
"90 owen road","https://www.srx.com.sg/listings/97691671/for-rent-90-owen-road-single-storey-shophouse-for-immediate-rental","1,300 sqft / $8.46 psf(Built)","$11,000"
"New Bridge Road","https://www.srx.com.sg/listings/97719561/for-rent-new-bridge-road-new-bridge-road","1,373 sqft / $8.74 psf(Built)","$12,000"
"Tras Street","https://www.srx.com.sg/listings/97716851/for-rent-tras-street-tras-street","2,500 sqft / $7.20 psf(Built)","$18,000"
"Toa Payoh Central","https://www.srx.com.sg/listings/93003471/for-rent-toa-payoh-central-toa-payoh-central-blk-183-shop-for-leas","530 sqft / $30.00 psf(Built)","$15,900"
"Ue Bizhub East","https://www.srx.com.sg/listings/92347631/for-rent-ue-bizhub-east-changi-business-park-avenue-1","1,216 sqft / $9.87 psf(Built)","$12,000"
"Boat Quay Conservation Area","https://www.srx.com.sg/listings/97684971/for-rent-boat-quay-conservation-area-circular-road","2,300 sqft / $8.00 psf(Built)","$18,400"
"The Signature","https://www.srx.com.sg/listings/96809131/for-rent-the-signature-changi-business-park-central-2","7,278 sqft / $6.73 psf(Built)","$49,000"
"Holland Village","https://www.srx.com.sg/listings/81829412/for-rent-holland-village-grandstand-retail-for-lease","2,290 sqft / $12.66 psf(Built)","$29,000"
"The Rochester Mall - F&B/Retails For Lease","https://www.srx.com.sg/listings/84841281/for-rent-the-rochester-mall-f-b-retails-for-lease-rochester-mall-f-b-retails-for-lease","1,632 sqft / $6.99 psf(Built)","$11,400"
"UE Bizhub East @CBP - F&B / Retails for lease","https://www.srx.com.sg/listings/84945721/for-rent-ue-bizhub-east-cbp-f-b-retails-for-lease-ue-bizhub-east-f-b-retails-for-lease","1,805 sqft / $8.86 psf(Built)","$15,999"
"Holland Village","https://www.srx.com.sg/listings/85044541/for-rent-holland-village-holland-village-f-b-for-lease","1,800 sqft / $13.89 psf(Built)","$25,000"
"The Signature","https://www.srx.com.sg/listings/90674171/for-rent-the-signature-rare-ground-floor-restaurant-space-for-lease","7,278 sqft / $4.95 psf(Built)","$36,000"
"Serangoon Road","https://www.srx.com.sg/listings/93604731/for-rent-serangoon-road-worker-quarter-dormitory-for-lease","1,400 sqft / $3.14 psf(Built)","$4,400"
"Junction Nine","https://www.srx.com.sg/listings/85034391/for-rent-junction-nine-junction-nine-shop-retail-for-lease","624 sqft / $8.49 psf(Built)","$5,300"
"West Coast Plaza","https://www.srx.com.sg/listings/84763161/for-rent-west-coast-plaza-west-coast-plaza-retail-f-b-for-lease","300 sqft / $16.67 psf(Built)","$5,000"
"WOODLANDS MRT STATION (TE2)","https://www.srx.com.sg/listings/96206381/for-rent-woodlands-mrt-station-te2-smrt-f-b-medical-retails-and-services-space-fo","429 sqft / $14.04 psf(Built)","$6,023"
"Geylang Road","https://www.srx.com.sg/listings/92347391/for-rent-geylang-road-hotel-40-beds-for-lease-geylang-road-for-work","1,400 sqft / $3.14 psf(Built)","$4,400"
"Holland Village","https://www.srx.com.sg/listings/92944961/for-rent-holland-village-lorong-mambong","1,800 sqft / $13.89 psf(Built)","$25,000"
"Geylang Road","https://www.srx.com.sg/listings/94236741/for-rent-geylang-road-newly-renovated-ground-floor-shop-space-facing-mai","1,000 sqft / $6.50 psf(Built)","$6,500"
"Emerald Hill Road","https://www.srx.com.sg/listings/97711901/for-rent-emerald-hill-road-emerald-hill-road","3,000 sqft / $6.00 psf(Built)","$18,000"
"Sam Leong Road","https://www.srx.com.sg/listings/97708101/for-rent-sam-leong-road-sam-leong-road","1,300 sqft / $7.69 psf(Built)","$10,000"
"Clementi Avenue 3","https://www.srx.com.sg/listings/91525381/for-rent-clementi-avenue-3-clementi-avenue-3","305 sqft / $39.02 psf(Built)","$11,900"
"Clementi Avenue 3","https://www.srx.com.sg/listings/93890891/for-rent-clementi-avenue-3-superb-location-easy-transport-access-great-comm","700 sqft / $6.43 psf(Built)","$4,500"
"Craig Road","https://www.srx.com.sg/listings/97703331/for-rent-craig-road-craig-road","1,500 sqft / $10.67 psf(Built)","$16,000"
"Ann Siang Road","https://www.srx.com.sg/listings/97380551/for-rent-ann-siang-road-ann-siang-road","2,400 sqft / $15.83 psf(Built)","$38,000"
"Bedok South Road","https://www.srx.com.sg/listings/95133011/for-rent-bedok-south-road-bedok-south-road","300 sqft / $23.33 psf(Built)","$7,000"
"Bukit Pasoh Conservation Area","https://www.srx.com.sg/listings/97702091/for-rent-bukit-pasoh-conservation-area-teo-hong-road","1,729 sqft / $14.46 psf(Built)","$25,000"
"Mosque Street","https://www.srx.com.sg/listings/97702081/for-rent-mosque-street-mosque-street","1,719 sqft / $8.73 psf(Built)","$15,000"
"Mayflower Shopping & Food Centre","https://www.srx.com.sg/listings/97695111/for-rent-mayflower-shopping-food-centre-ang-mo-kio-avenue-4","800 sqft / $5.25 psf(Built)","$4,200"
"Bukit Pasoh Conservation Area","https://www.srx.com.sg/listings/97694151/for-rent-bukit-pasoh-conservation-area-teo-hong-road","1,700 sqft / $14.71 psf(Built)","$25,000"
"Ubi Avenue 1","https://www.srx.com.sg/listings/97688841/for-rent-ubi-avenue-1-ubi-avenue-1","350 sqft / $11.43 psf(Built)","$4,000"
"Desker Road * F&B Approved","https://www.srx.com.sg/listings/97656261/for-rent-desker-road-f-b-approved-f-n-b-approved-for-rent","3,000 sqft / $5.33 psf(Built)","$16,000"
"Duxton Hill","https://www.srx.com.sg/listings/97655301/for-rent-duxton-hill-high-traffic-area-along-duxton-perfect-for-fb","1,117 sqft / $13.43 psf(Built)","$15,000"
"Ang Siang Hill","https://www.srx.com.sg/listings/97655231/for-rent-ang-siang-hill-ang-siang-hill-fb-for-rent-rare-huge-frontage","2,500 sqft / $16.00 psf(Built)","$40,000"
"Chai Chee Road","https://www.srx.com.sg/listings/97426091/for-rent-chai-chee-road-chai-chee-road","100 sqft / $30.00 psf(Built)","$3,000"
"Hongkong Street","https://www.srx.com.sg/listings/93706231/for-rent-hongkong-street-hongkong-street","5,700 sqft / $5.79 psf(Built)","$33,000"
"Boat Quay Conservation Area","https://www.srx.com.sg/listings/97041211/for-rent-boat-quay-conservation-area-boat-quay","1,115 sqft / $4.93 psf(Built)","$5,500"
"Bukit Merah Central","https://www.srx.com.sg/listings/94908681/for-rent-bukit-merah-central-163-bukit-merah-central-hdb-retail-shop-for-rent","275 sqft / $9.09 psf(Built)","$2,500"
"Tanjong Pagar Plaza","https://www.srx.com.sg/listings/93545411/for-rent-tanjong-pagar-plaza-sms-93666616","240 sqft / $7.08 psf(Built)","$1,700"
"New Bridge Road","https://www.srx.com.sg/listings/96097251/for-rent-new-bridge-road-new-bridge-road","1,373 sqft / $8.74 psf(Built)","$12,000"
"New Bridge Road","https://www.srx.com.sg/listings/97674951/for-rent-new-bridge-road-new-bridge-road","1,373 sqft / $8.74 psf(Built)","$12,000"
"Pagoda Street","https://www.srx.com.sg/listings/96100481/for-rent-pagoda-street-pagoda-street","1,820 sqft / $9.89 psf(Built)","$18,000"
"Redhill Close","https://www.srx.com.sg/listings/96101221/for-rent-redhill-close-redhill-close","320 sqft / $13.13 psf(Built)","$4,200"
"Jalan Bukit Merah","https://www.srx.com.sg/listings/96493681/for-rent-jalan-bukit-merah-jalan-bukit-merah","375 sqft / $10.00 psf(Built)","$3,750"
"Bedok South Avenue 3","https://www.srx.com.sg/listings/97665521/for-rent-bedok-south-avenue-3-bedok-south-avenue-3","1,464 sqft / $6.15 psf(Built)","$9,000"
"Amoy Street","https://www.srx.com.sg/listings/97633341/for-rent-amoy-street-amoy-street","1,819 sqft / $6.50 psf(Built)","$11,823"
"Lavender","https://www.srx.com.sg/listings/97632911/for-rent-lavender-shophouse-for-rent-at-jalan-besar","1,368 sqft / $6.43 psf(Built)","$8,800"
"Kallang Bahru","https://www.srx.com.sg/listings/94244451/for-rent-kallang-bahru-near-mrt-f-b-unit-for-rent","2,612 sqft / $6.00 psf(Built)","$15,675"
"Amoy Street","https://www.srx.com.sg/listings/94547361/for-rent-amoy-street-rare-ground-floor-shophouse-unit-in-amoy-street-fo","900 sqft / $12.00 psf(Built)","$10,800"
"Amoy Street","https://www.srx.com.sg/listings/94547741/for-rent-amoy-street-amoy-street","900 sqft / $12.00 psf(Built)","$10,800"
"Jurong East Avenue 1","https://www.srx.com.sg/listings/97657001/for-rent-jurong-east-avenue-1-jurong-east-avenue-1","1,800 sqft / $5.39 psf(Built)","$9,700"
"Amoy Street","https://www.srx.com.sg/listings/97633351/for-rent-amoy-street-amoy-street","1,819 sqft / $6.50 psf(Built)","$11,823"
"Lavender Street","https://www.srx.com.sg/listings/97633291/for-rent-lavender-street-lavender-street","1,534 sqft / $7.50 psf(Built)","$11,500"
"Telok Blangah Heights","https://www.srx.com.sg/listings/97620681/for-rent-telok-blangah-heights-telok-blangah-heights","350 sqft / $8.00 psf(Built)","$2,800"
"North Canal Road","https://www.srx.com.sg/listings/97616121/for-rent-north-canal-road-north-canal-road","1,100 sqft / $6.36 psf(Built)","$7,000"
"Tanjong Katong Road","https://www.srx.com.sg/listings/96766921/for-rent-tanjong-katong-road-tanjong-katong-road","1,600 sqft / $6.13 psf(Built)","$9,800"
"Pasir Panjang Road","https://www.srx.com.sg/listings/97598351/for-rent-pasir-panjang-road-pasir-panjang-road","5,640 sqft / $3.19 psf(Built)","$18,000"
"Circular Road","https://www.srx.com.sg/listings/97613971/for-rent-circular-road-circular-road","1,100 sqft / $6.36 psf(Built)","$7,000"
"Lorong Telok","https://www.srx.com.sg/listings/97613901/for-rent-lorong-telok-lorong-telok","1,100 sqft / $6.36 psf(Built)","$7,000"
"Boat Quay","https://www.srx.com.sg/listings/97613801/for-rent-boat-quay-boat-quay","1,100 sqft / $6.36 psf(Built)","$7,000"
"South Bridge Road","https://www.srx.com.sg/listings/97613691/for-rent-south-bridge-road-south-bridge-road","1,250 sqft / $7.20 psf(Built)","$9,000"
"Trengganu Street","https://www.srx.com.sg/listings/97613311/for-rent-trengganu-street-trengganu-street","1,250 sqft / $7.20 psf(Built)","$9,000"
"Sago Street","https://www.srx.com.sg/listings/97613221/for-rent-sago-street-sago-street","1,250 sqft / $7.20 psf(Built)","$9,000"
"Sago Street","https://www.srx.com.sg/listings/97613131/for-rent-sago-street-sago-street","1,250 sqft / $7.20 psf(Built)","$9,000"
"Smith Street","https://www.srx.com.sg/listings/97613061/for-rent-smith-street-smith-street","1,250 sqft / $7.20 psf(Built)","$9,000"
"Temple Street","https://www.srx.com.sg/listings/97612941/for-rent-temple-street-temple-street","1,250 sqft / $7.20 psf(Built)","$9,000"
"Kreta Ayer Conservation Area","https://www.srx.com.sg/listings/97612821/for-rent-kreta-ayer-conservation-area-mosque-street","1,250 sqft / $7.20 psf(Built)","$9,000"
"Kreta Ayer Conservation Area","https://www.srx.com.sg/listings/97612511/for-rent-kreta-ayer-conservation-area-pagoda-street","1,250 sqft / $7.20 psf(Built)","$9,000"
"Tanjong Pagar Conservation Area","https://www.srx.com.sg/listings/97483251/for-rent-tanjong-pagar-conservation-area-craig-road","3,900 sqft / $8.08 psf(Built)","$31,500"
"Bussorah Street","https://www.srx.com.sg/listings/97605211/for-rent-bussorah-street-bussorah-street","1,200 sqft / $10.00 psf(Built)","$12,000"
"Circular Road","https://www.srx.com.sg/listings/95622331/for-rent-circular-road-circular-road","840 sqft / $12.00 psf(Built)","$10,080"
"North Bridge Road","https://www.srx.com.sg/listings/97040831/for-rent-north-bridge-road-north-bridge-road","1,402 sqft / $6.42 psf(Built)","$9,000"
"Kreta Ayer Conservation Area","https://www.srx.com.sg/listings/97598561/for-rent-kreta-ayer-conservation-area-pagoda-street","900 sqft / $4.22 psf(Built)","$3,800"
"New Bridge Road","https://www.srx.com.sg/listings/97595931/for-rent-new-bridge-road-new-bridge-road","2,600 sqft / $6.92 psf(Built)","$18,000"
"Carpenter Street","https://www.srx.com.sg/listings/97591281/for-rent-carpenter-street-carpenter-street","2,600 sqft / $6.92 psf(Built)","$18,000"
"Hongkong Street","https://www.srx.com.sg/listings/97591201/for-rent-hongkong-street-hongkong-street","2,600 sqft / $6.92 psf(Built)","$18,000"
"Boat Quay Conservation Area","https://www.srx.com.sg/listings/97589801/for-rent-boat-quay-conservation-area-south-bridge-road","1,600 sqft / $6.25 psf(Built)","$10,000"
"Bishan Street 11","https://www.srx.com.sg/listings/97586771/for-rent-bishan-street-11-bishan-street-11","350 sqft / $5.14 psf(Built)","$1,800"
"Desker Road - Ground floor F&B,subject to approval","https://www.srx.com.sg/listings/97436971/for-rent-desker-road-ground-floor-f-b-subject-to-approval-high-footfall-shops-for-rent","1,100 sqft / $8.64 psf(Built)","$9,500"
"shophouse for rent 旺铺招租","https://www.srx.com.sg/listings/97558341/for-rent-shophouse-for-rent-4-storeys-shophouse-for-rent-near-paya-lebar-mrt-b","2,950 sqft / $6.78 psf(Built)","$20,000"
"Circular Road","https://www.srx.com.sg/listings/95847651/for-rent-circular-road-circular-road","840 sqft / $12.00 psf(Built)","$10,080"
"Hongkong Street","https://www.srx.com.sg/listings/97580501/for-rent-hongkong-street-hongkong-street","1,970 sqft / $6.90 psf(Built)","$13,600"
"Hongkong Street","https://www.srx.com.sg/listings/97580361/for-rent-hongkong-street-hongkong-street","985 sqft / $6.90 psf(Built)","$6,800"
"Carpenter Street","https://www.srx.com.sg/listings/97580161/for-rent-carpenter-street-carpenter-street","1,373 sqft / $8.74 psf(Built)","$12,000"
"New Bridge Road","https://www.srx.com.sg/listings/97580031/for-rent-new-bridge-road-new-bridge-road","1,373 sqft / $8.74 psf(Built)","$12,000"
"Hongkong Street","https://www.srx.com.sg/listings/97579881/for-rent-hongkong-street-hongkong-street","1,373 sqft / $8.74 psf(Built)","$12,000"
"Telok Ayer Conservation Area","https://www.srx.com.sg/listings/97210641/for-rent-telok-ayer-conservation-area-south-bridge-road-mins-to-mrt","939 sqft / $10.54 psf(Built)","$9,900"
"North Canal Road","https://www.srx.com.sg/listings/97564661/for-rent-north-canal-road-north-canal-road","840 sqft / $11.90 psf(Built)","$10,000"
"Lorong Telok","https://www.srx.com.sg/listings/97564461/for-rent-lorong-telok-lorong-telok","840 sqft / $11.90 psf(Built)","$10,000"
"Circular Road","https://www.srx.com.sg/listings/97564341/for-rent-circular-road-circular-road","840 sqft / $11.90 psf(Built)","$10,000"
"Tanjong Pagar Road","https://www.srx.com.sg/listings/97561951/for-rent-tanjong-pagar-road-tanjong-pagar-road","4,688 sqft / $6.40 psf(Built)","$30,000"
"Tanjong Pagar Road","https://www.srx.com.sg/listings/97561861/for-rent-tanjong-pagar-road-tanjong-pagar-road","3,288 sqft / $6.08 psf(Built)","$20,000"
"Tanjong Pagar Road","https://www.srx.com.sg/listings/97561801/for-rent-tanjong-pagar-road-tanjong-pagar-road","2,800 sqft / $7.14 psf(Built)","$20,000"
"Tanjong Pagar Road","https://www.srx.com.sg/listings/97561131/for-rent-tanjong-pagar-road-tanjong-pagar-road","1,888 sqft / $5.30 psf(Built)","$10,000"
"Tanjong Pagar Road","https://www.srx.com.sg/listings/97561091/for-rent-tanjong-pagar-road-tanjong-pagar-road","1,400 sqft / $7.14 psf(Built)","$10,000"
"Mosque Street","https://www.srx.com.sg/listings/97459411/for-rent-mosque-street-mosque-street","1,717 sqft / $11.65 psf(Built)","$20,000"
"New Upper Changi Road","https://www.srx.com.sg/listings/97021791/for-rent-new-upper-changi-road-new-upper-changi-road","255 sqft / $25.49 psf(Built)","$6,500"
"Nguang Building","https://www.srx.com.sg/listings/97525961/for-rent-nguang-building-south-bridge-road","948 sqft / $4.01 psf(Built)","$3,800"
"Norris Road","https://www.srx.com.sg/listings/97534331/for-rent-norris-road-norris-road","746 sqft / $4.42 psf(Built)","$3,300"
"Cheng San Centre","https://www.srx.com.sg/listings/97532661/for-rent-cheng-san-centre-ang-mo-kio-avenue-10","27 sqft / $96.30 psf(Built)","$2,600"
"Tanjong Pagar Road","https://www.srx.com.sg/listings/97531741/for-rent-tanjong-pagar-road-tanjong-pagar-road","1,600 sqft / $8.13 psf(Built)","$13,000"
"Tras Street","https://www.srx.com.sg/listings/97531681/for-rent-tras-street-tras-street","1,600 sqft / $8.13 psf(Built)","$13,000"
"Tanjong Pagar Conservation Area","https://www.srx.com.sg/listings/97531601/for-rent-tanjong-pagar-conservation-area-tanjong-pagar-road","1,200 sqft / $6.67 psf(Built)","$8,000"
"Tanjong Pagar Conservation Area","https://www.srx.com.sg/listings/97531531/for-rent-tanjong-pagar-conservation-area-tras-street","1,200 sqft / $6.67 psf(Built)","$8,000"
"Tanjong Pagar Road","https://www.srx.com.sg/listings/97531441/for-rent-tanjong-pagar-road-tanjong-pagar-road","1,500 sqft / $5.73 psf(Built)","$8,600"
"Tras Street","https://www.srx.com.sg/listings/97531361/for-rent-tras-street-tras-street","1,500 sqft / $5.73 psf(Built)","$8,600"
"Neil Road","https://www.srx.com.sg/listings/97442661/for-rent-neil-road-neil-road","2,200 sqft / $6.14 psf(Built)","$13,500"
"Chander Road","https://www.srx.com.sg/listings/97521491/for-rent-chander-road-chander-road","1,200 sqft / $6.00 psf(Built)","$7,200"
"East Coast Road","https://www.srx.com.sg/listings/97519511/for-rent-east-coast-road-east-coast-road","700 sqft / $5.71 psf(Built)","$4,000"
"Telok Ayer Conservation Area","https://www.srx.com.sg/listings/97510041/for-rent-telok-ayer-conservation-area-telok-ayer-street","1,819 sqft / $6.50 psf(Built)","$11,815"
"Telok Ayer Conservation Area","https://www.srx.com.sg/listings/97509381/for-rent-telok-ayer-conservation-area-amoy-street","1,819 sqft / $6.50 psf(Built)","$11,815"
"Mosque Street","https://www.srx.com.sg/listings/97509341/for-rent-mosque-street-mosque-street","1,717 sqft / $11.65 psf(Built)","$20,000"
"★★ Jurong east tuition centre, avail Oct 22 ★★","https://www.srx.com.sg/listings/97471421/for-rent-jurong-east-tuition-centre-avail-oct-22-cheap-jurong-east-shop-for-rent","1,000 sqft / $3.80 psf(Built)","$3,800"
"Ann siang hill","https://www.srx.com.sg/listings/97463961/for-rent-ann-siang-hill-f-b-ann-siang-maxwell-excellent-frontage","1,173 sqft / $11.94 psf(Built)","$14,000"
"Circular Road","https://www.srx.com.sg/listings/94782011/for-rent-circular-road-circular-road","840 sqft / $12.00 psf(Built)","$10,080"
"Circular Road","https://www.srx.com.sg/listings/94781841/for-rent-circular-road-circular-road","624 sqft / $12.00 psf(Built)","$7,488"
"Along Kerbau road","https://www.srx.com.sg/listings/97433601/for-rent-along-kerbau-road-ground-floor-shop-for-immediate-rent","1,000 sqft / $7.50 psf(Built)","$7,500"
"Tanjong Pagar Conservation Area","https://www.srx.com.sg/listings/97459981/for-rent-tanjong-pagar-conservation-area-tras-street","1,600 sqft / $8.13 psf(Built)","$13,000"
"Tanjong Pagar Conservation Area","https://www.srx.com.sg/listings/97459961/for-rent-tanjong-pagar-conservation-area-tras-street","1,200 sqft / $7.33 psf(Built)","$8,800"
"⭐ Cheap 2 storey shophouse @ Farrer Park - dont miss it ⭐","https://www.srx.com.sg/listings/97423331/for-rent-cheap-2-storey-shophouse-farrer-park-dont-miss-it-cheap-shophouse-for-rent-must-view","1,600 sqft / $5.19 psf(Built)","$8,300"
"Kampong glam","https://www.srx.com.sg/listings/97418941/for-rent-kampong-glam-conservation-shop-for-rent","1,400 sqft / $9.86 psf(Built)","$13,800"
"Geylang Bahru","https://www.srx.com.sg/listings/97087781/for-rent-geylang-bahru-geylang-bahru","731 sqft / $9.58 psf(Built)","$7,000"
"Hougang Avenue 1","https://www.srx.com.sg/listings/96572191/for-rent-hougang-avenue-1-ground-floor-and-level-2-available-for-rent-in-b","720 sqft / $16.39 psf(Built)","$11,800"
"★★ Joo Chiat Office for rent, avail Sep 22 ★★","https://www.srx.com.sg/listings/97393841/for-rent-joo-chiat-office-for-rent-avail-sep-22-shophouse-facing-main-road-with-toilet-water-po","1,300 sqft / $3.23 psf(Built)","$4,200"
"Clementi Avenue 3","https://www.srx.com.sg/listings/94338551/for-rent-clementi-avenue-3-heavy-human-traffic-close-to-mall-mrt-hawker","2,250 sqft / $11.11 psf(Built)","$25,000"
"Toa Payoh Central","https://www.srx.com.sg/listings/96602341/for-rent-toa-payoh-central-toa-payoh-central","580 sqft / $28.97 psf(Built)","$16,800"
"Jalan Besar","https://www.srx.com.sg/listings/97022291/for-rent-jalan-besar-jalan-besar","1,317 sqft / $4.18 psf(Built)","$5,500"
"Tanjong Pagar Conservation Area","https://www.srx.com.sg/listings/97398331/for-rent-tanjong-pagar-conservation-area-craig-road","1,475 sqft / $11.86 psf(Built)","$17,500"
"Mohamed Sultan Road","https://www.srx.com.sg/listings/97056641/for-rent-mohamed-sultan-road-mohamed-sultan-road","1,183 sqft / $5.00 psf(Built)","$5,920"
"190 Lor 6 Toa Payoh","https://www.srx.com.sg/listings/97341341/for-rent-190-lor-6-toa-payoh-prime-grond-floor-retail-space-at-toa-payoh-centra","650 sqft / $30.77 psf(Built)","$20,000"
"City Gate","https://www.srx.com.sg/listings/97091311/for-rent-city-gate-city-gate-f-b-for-rent-5000","680 sqft / $7.35 psf(Built)","$5,000"
"Craig Road","https://www.srx.com.sg/listings/97146481/for-rent-craig-road-craig-road","1,750 sqft / $7.89 psf(Built)","$13,800"
"New Bridge Road","https://www.srx.com.sg/listings/96816791/for-rent-new-bridge-road-new-bridge-road","2,900 sqft / $11.03 psf(Built)","$32,000"
"Serangoon Central Drive","https://www.srx.com.sg/listings/95672651/for-rent-serangoon-central-drive-serangoon-central-drive","300 sqft / $16.67 psf(Built)","$5,000"
"Arc 380","https://www.srx.com.sg/listings/97217161/for-rent-arc-380-jalan-besar","650 sqft / $3.85 psf(Built)","$2,500"
"Mosque Street","https://www.srx.com.sg/listings/97325131/for-rent-mosque-street-mosque-street","1,717 sqft / $11.65 psf(Built)","$20,000"
"Goldhill Plaza","https://www.srx.com.sg/listings/97314841/for-rent-goldhill-plaza-great-frontage-and-lots-of-human-crowds","990 sqft / $10.10 psf(Built)","$9,999"
"Katong Plaza","https://www.srx.com.sg/listings/97306031/for-rent-katong-plaza-brooke-road","462 sqft / $4.50 psf(Built)","$2,079"
"Ang Mo Kio Avenue 10","https://www.srx.com.sg/listings/97302361/for-rent-ang-mo-kio-avenue-10-ang-mo-kio-avenue-10","300 sqft / $12.67 psf(Built)","$3,800"
"Sims Urban Oasis","https://www.srx.com.sg/listings/94301181/for-rent-sims-urban-oasis-sims-drive","678 sqft / $8.85 psf(Built)","$6,000"
"West Coast Drive","https://www.srx.com.sg/listings/96826901/for-rent-west-coast-drive-west-coast-drive","150 sqft / $5.00 psf(Built)","$750"
"Peck Seah Street","https://www.srx.com.sg/listings/95642711/for-rent-peck-seah-street-peck-seah-street","800 sqft / $5.63 psf(Built)","$4,500"
"Mayflower Shopping & Food Centre","https://www.srx.com.sg/listings/97241411/for-rent-mayflower-shopping-food-centre-ang-mo-kio-avenue-4","750 sqft / $4.40 psf(Built)","$3,300"
"Cheng San Centre","https://www.srx.com.sg/listings/96200991/for-rent-cheng-san-centre-ang-mo-kio-avenue-10","360 sqft / $13.89 psf(Built)","$5,000"
"Pasir Panjang Gardens","https://www.srx.com.sg/listings/96031131/for-rent-pasir-panjang-gardens-main-road-fronting-half-shop-for-rent-high-visib","300 sqft / $10.00 psf(Built)","$3,000"
"259284","https://www.srx.com.sg/listings/97172261/for-rent-259284-259284","463 sqft / $7.13 psf(Built)","$3,300"
"NEWest","https://www.srx.com.sg/listings/97200781/for-rent-newest-west-coast-drive","151 sqft / $19.87 psf(Built)","$3,000"
