"property_name","property_url","property_area_or_psf","property_total_price"
"Syed Alwi Road","https://www.srx.com.sg/listings/75585912/for-rent-syed-alwi-road-prime-location-near-mustafa","2,000 sqft / $9.00 psf(Built)","$18,000"
"Little India Conservation Area","https://www.srx.com.sg/listings/75585962/for-rent-little-india-conservation-area-high-traffic-prime-location","2,000 sqft / $5.75 psf(Built)","$11,500"
"Kampong Glam Conservation Area","https://www.srx.com.sg/listings/75949052/for-rent-kampong-glam-conservation-area-heritage-area-kampong-glam-arab-street","1,000 sqft / $8.00 psf(Built)","$8,000"
"Little India Conservation Area","https://www.srx.com.sg/listings/75585882/for-rent-little-india-conservation-area-f-b-and-retail-shophouses-available-for-rental-at","2,000 sqft / $6.00 psf(Built)","$12,000"
"Syed Alwi Road","https://www.srx.com.sg/listings/75585902/for-rent-syed-alwi-road-opposite-mustafa-24-hours-shopping-centre-main-s","900 sqft / $17.78 psf(Built)","$16,000"
"5 Everton Park","https://www.srx.com.sg/listings/97904981/for-rent-5-everton-park-5-everton-park","350 sqft / $10.00 psf(Built)","$3,500"
"Birch Road","https://www.srx.com.sg/listings/95600031/for-rent-birch-road-birch-road","2,820 sqft / $5.60 psf(Built)","$15,800"
"Race Course Road","https://www.srx.com.sg/listings/97854291/for-rent-race-course-road-race-course-road","5,000 sqft / $10.00 psf(Built)","$50,000"
"Toa Payoh Central","https://www.srx.com.sg/listings/97449641/for-rent-toa-payoh-central-for-takeover","80 sqft / $56.25 psf(Built)","$4,500"
"Serangoon North Avenue 1","https://www.srx.com.sg/listings/97838791/for-rent-serangoon-north-avenue-1-serangoon-north-avenue-1","1,475 sqft / $6.78 psf(Built)","$10,000"
"South Bridge Road","https://www.srx.com.sg/listings/96013361/for-rent-south-bridge-road-south-bridge-road","3,418 sqft / $9.36 psf(Built)","$32,000"
"Lavender Street","https://www.srx.com.sg/listings/95895311/for-rent-lavender-street-lavender-street","1,735 sqft / $4.90 psf(Built)","$8,500"
"Balestier Hill Shopping Centre","https://www.srx.com.sg/listings/97513031/for-rent-balestier-hill-shopping-centre-balestier-road","311 sqft / $6.43 psf(Built)","$2,000"
"Ang Mo Kio Avenue 8","https://www.srx.com.sg/listings/97663841/for-rent-ang-mo-kio-avenue-8-ang-mo-kio-avenue-8","900 sqft / $5.33 psf(Built)","$4,800"
"475 Tampines Street 44","https://www.srx.com.sg/listings/97892871/for-rent-475-tampines-street-44-tampines-hdb-shophouse-open-to-all-trades-rental-w","215 sqft / $13.95 psf(Built)","$3,000"
"Geylang Road","https://www.srx.com.sg/listings/97509531/for-rent-geylang-road-geylang-road","2,000 sqft / $3.40 psf(Built)","$6,800"
"Duxton Road","https://www.srx.com.sg/listings/97032211/for-rent-duxton-road-duxton-road","600 sqft / $11.67 psf(Built)","$7,000"
"Tanjong Pagar Conservation Area","https://www.srx.com.sg/listings/97032301/for-rent-tanjong-pagar-conservation-area-duxton-road","1,000 sqft / $7.00 psf(Built)","$7,000"
"Tanjong Pagar Conservation Area","https://www.srx.com.sg/listings/97040581/for-rent-tanjong-pagar-conservation-area-tras-street","1,200 sqft / $7.33 psf(Built)","$8,800"
"Tras Street","https://www.srx.com.sg/listings/97040151/for-rent-tras-street-tras-street","2,500 sqft / $7.20 psf(Built)","$18,000"
